LV,nominal,FV,note,test_statistic,p-value,CI-lower,CI-upper,relative_effect,FVC_n,LVC_n
make_VERB,progress_SUBST,progress_VERB,EXTREME OUTLIERS PRESENT,-0.74,0.768,0.346,0.572,0.458,76,41
give_VERB,push_SUBST,push_VERB,EXTREME OUTLIERS PRESENT,0.162,0.427,0.29,0.738,0.514,796,7
take_VERB,care_SUBST,care_VERB,EXTREME OUTLIERS PRESENT,-5.052,1,0.332,0.428,0.38,929,105
make_VERB,allowance_SUBST,allow_VERB,EXTREME OUTLIERS PRESENT,-0.883,0.805,0.294,0.585,0.439,1641,19
make_VERB,attempt_SUBST,attempt_VERB,EXTREME OUTLIERS PRESENT,-0.088,0.533,-0.205,1.207,0.482,96,4
play_VERB,part_SUBST,participate_VERB,EXTREME OUTLIERS PRESENT,1.41,0.08,0.463,0.71,0.587,50,42
hold_VERB,meeting_SUBST,meet_VERB,EXTREME OUTLIERS PRESENT,-5.432,1,0.168,0.362,0.265,2533,10
have_VERB,swim_SUBST,swim_VERB,EXTREME OUTLIERS PRESENT,0.617,0.272,0.304,0.829,0.567,265,8
have_VERB,understanding_SUBST,understand_VERB,EXTREME OUTLIERS PRESENT,-1.361,0.903,0.295,0.547,0.418,2384,22
make_VERB,offer_SUBST,offer_VERB,EXTREME OUTLIERS PRESENT,-0.767,0.771,0.238,0.635,0.434,816,10
take_VERB,shower_SUBST,shower_VERB,EXTREME OUTLIERS PRESENT,-0.467,0.674,0.148,0.789,0.463,41,3
give_VERB,shake_SUBST,shake_VERB,EXTREME OUTLIERS PRESENT,-1.68,0.916,-0.006,0.645,0.317,185,5
make_VERB,statement_SUBST,state_VERB,,-1.795,0.96,0.319,0.51,0.414,113,46
have_VERB,thought_SUBST,think_VERB,EXTREME OUTLIERS PRESENT,NaN,,,,,55100,37
give_VERB,miss_SUBST,miss_VERB,EXTREME OUTLIERS PRESENT,-6.559,0.999,0.159,0.348,0.252,1341,7
have_VERB,cough_SUBST,cough_VERB,EXTREME OUTLIERS PRESENT,-0.741,0.768,0.124,0.68,0.409,102,9
take_VERB,breath_SUBST,breathe_VERB,EXTREME OUTLIERS PRESENT,-0.106,0.545,0.368,0.616,0.494,177,24
give_VERB,blessing_SUBST,bless_VERB,insufficient observations,test_result$statistic,,,,,241,1
make_VERB,announcement_SUBST,announce_VERB,EXTREME OUTLIERS PRESENT,-0.472,0.69,0.268,0.648,0.458,117,14
give_VERB,shout_SUBST,shout_VERB,EXTREME OUTLIERS PRESENT,-0.111,0.547,0.398,0.592,0.495,247,23
have_VERB,walk_SUBST,walk_VERB,EXTREME OUTLIERS PRESENT,1.133,0.131,0.464,0.626,0.546,2948,52
take_VERB,walk_SUBST,walk_VERB,EXTREME OUTLIERS PRESENT,-0.492,0.692,0.269,0.651,0.463,2948,7
have_VERB,dance_SUBST,dance_VERB,EXTREME OUTLIERS PRESENT,0.17,0.437,0.329,0.704,0.515,193,16
give_VERB,guidance_SUBST,guide_VERB,EXTREME OUTLIERS PRESENT,-2.689,0.993,0.023,0.436,0.231,22,13
make_VERB,declaration_SUBST,declare_VERB,EXTREME OUTLIERS PRESENT,-1.035,0.765,-1.464,2.145,0.279,102,2
give_VERB,treatment_SUBST,treat_VERB,EXTREME OUTLIERS PRESENT,-2.811,0.98,0.019,0.482,0.251,463,7
give_VERB,assistance_SUBST,assist_VERB,,0.416,0.34,0.149,0.981,0.56,80,5
take_VERB,step_SUBST,step_VERB,EXTREME OUTLIERS PRESENT,-2.002,0.976,0.297,0.499,0.399,149,37
make_VERB,appearance_SUBST,appear_VERB,EXTREME OUTLIERS PRESENT,15.106,0.002,0.792,1.096,0.939,369,3
give_VERB,thanks_SUBST,thank_VERB,EXTREME OUTLIERS PRESENT,-1.076,0.817,-0.597,1.2,0.328,2866,3
make_VERB,application_SUBST,apply_VERB,EXTREME OUTLIERS PRESENT,-5.9,1,0.121,0.326,0.224,760,13
