FVC_POS,LVC,LV_POS,nominal_POS,punctive/durative,count/mass syntax,source,identical nominal?,related nominal?,passive?,comments
understand_VERB,have an understanding,have_VERB,understanding_SUBST,durative,mass,Gilquin (2019),FALSE,TRUE,FALSE,
charge_VERB,levy a charge,levy_VERB,charge_SUBST,punctive,count,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
bid_VERB,make a bid,make_VERB,bid_SUBST,punctive,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
call_VERB,make a call,make_VERB,call_SUBST,durative,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
change_VERB,make a change,make_VERB,change_SUBST,durative,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
comment_VERB,make a comment,make_VERB,comment_SUBST,durative,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
intent_VERB,have the intention,have_VERB,intention_SUBST,durative,mass,Gilquin (2019),FALSE,TRUE,FALSE,
meet_VERB,hold a meeting,hold_VERB,meeting_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
copy_VERB,make a copy,make_VERB,copy_SUBST,punctive,count,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
cut_VERB,make a cut,make_VERB,cut_SUBST,punctive,count,Mehl (2019),TRUE,TRUE,FALSE,inspired by source
choose_VERB,make a choice,make_VERB,choice_SUBST,punctive,count,Bonial and Pollard (2020),FALSE,TRUE,FALSE,
compare_VERB,make a comparison,make_VERB,comparison_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
dent_VERB,make a dent,make_VERB,dent_SUBST,punctive,count,Bonial (2014),TRUE,TRUE,FALSE,idiom or LVC; make a dent in
complain_VERB,make a complaint,make_VERB,complaint_SUBST,durative,count,Mehl (2019),FALSE,TRUE,FALSE,
contribute_VERB,make a contribution,make_VERB,contribution_SUBST,durative,count,Bonial and Pollard (2020),FALSE,TRUE,FALSE,
film_VERB,make a film,make_VERB,film_SUBST,durative,count,Gilquin (2019),TRUE,TRUE,FALSE,
fuss_VERB,make a fuss,make_VERB,fuss_SUBST,durative,count,Bonial (2014),TRUE,TRUE,FALSE,idiom or LVC; make a fuss over
