verb,count,min,Q1,median,mean,std,Q3,max
modify_VERB,24.0,3.0,12.75,23.0,24.5,15.71208341428314,37.0,55.0
admit_VERB,355.0,2.0,10.0,18.0,23.64788732394366,21.616128755171438,29.5,258.0
measure_VERB,265.0,2.0,8.0,13.0,17.00754716981132,13.795034364853953,21.0,89.0
call_VERB,5255.0,1.0,8.0,13.0,18.835965746907707,17.29573595974995,24.0,192.0
have_VERB_understanding_SUBST,22.0,8.0,13.25,21.5,28.181818181818183,20.703430503953555,35.5,94.0
give_VERB_blessing_SUBST,1.0,8.0,8.0,8.0,8.0,nan,8.0,8.0
promise_VERB,203.0,2.0,8.0,16.0,20.561576354679804,17.3233631940882,27.5,87.0
play_VERB,4069.0,1.0,7.0,12.0,17.046448758908824,17.51343227427752,20.0,302.0
refer_VERB,560.0,2.0,13.0,20.5,26.23392857142857,20.125205378218173,33.0,188.0
scare_VERB,101.0,1.0,5.0,9.0,16.504950495049506,19.510317148819617,20.0,103.0
give_VERB_look_SUBST,13.0,3.0,7.0,13.0,31.0,56.29683235612225,21.0,211.0
advertise_VERB,213.0,2.0,8.0,15.0,20.215962441314552,18.006820737020362,26.0,115.0
make_VERB_provision_SUBST,39.0,4.0,20.0,29.0,32.794871794871796,19.574660697710684,41.0,92.0
massage_VERB,17.0,6.0,8.0,13.0,16.176470588235293,12.253750926337041,16.0,54.0
evaluate_VERB,55.0,2.0,10.5,15.0,21.763636363636362,18.737923158924637,29.5,92.0
make_VERB_progress_SUBST,45.0,4.0,14.0,21.0,25.555555555555557,19.137725184893977,34.0,109.0
commit_VERB_suicide_SUBST,24.0,2.0,9.0,15.0,19.0,13.965796728467359,23.0,57.0
comment_VERB,231.0,3.0,9.0,17.0,23.965367965367964,23.365128507887555,29.0,148.0
notice_VERB,943.0,2.0,8.0,14.0,18.985153764581124,17.793632778769915,24.0,211.0
look_VERB,18831.0,1.0,7.0,13.0,18.705963570707876,17.383746201141815,24.0,248.0
make_VERB_bid_SUBST,7.0,9.0,10.5,19.0,23.142857142857142,15.63573440795764,33.0,47.0
make_VERB_profit_SUBST,97.0,2.0,10.0,18.0,21.463917525773194,18.268290979904506,27.0,111.0
take_VERB_measure_SUBST,3.0,24.0,29.0,34.0,40.333333333333336,20.256686138984662,48.5,63.0
give_VERB_presentation_SUBST,9.0,11.0,20.0,22.0,27.88888888888889,20.85332374253829,26.0,81.0
use_VERB,7138.0,1.0,9.0,15.0,19.952087419445224,17.854163051765656,25.0,302.0
give_VERB_support_SUBST,25.0,4.0,16.0,24.0,27.96,20.549695861496346,37.0,105.0
take_VERB_care_SUBST,107.0,2.0,7.5,15.0,20.80373831775701,21.46275371926667,26.5,127.0
give_VERB_massage_SUBST,1.0,29.0,29.0,29.0,29.0,nan,29.0,29.0
have_VERB_smell_SUBST,11.0,5.0,9.5,16.0,17.272727272727273,9.88019138570614,24.5,35.0
fall_VERB,1545.0,2.0,8.0,13.0,19.136569579288025,17.488674792465357,24.0,186.0
consider_VERB,787.0,1.0,13.0,20.0,24.95933926302414,17.854041347498583,32.0,124.0
have_VERB_cuddle_SUBST,5.0,6.0,7.0,12.0,14.8,11.77709641634983,14.0,35.0
argue_VERB,383.0,2.0,10.0,18.0,23.60052219321149,19.6720414392174,31.0,133.0
give_VERB_miss_SUBST,8.0,7.0,10.5,13.5,14.25,5.574175147179049,18.25,23.0
analyse_VERB,81.0,2.0,9.0,16.0,19.950617283950617,15.039033574807839,26.0,79.0
drink_VERB,1464.0,1.0,7.0,12.0,17.333333333333332,18.51819842258977,20.0,258.0
make_VERB_announcement_SUBST,14.0,7.0,11.75,23.5,27.785714285714285,19.03914417690593,40.0,64.0
make_VERB_evaluation_SUBST,4.0,7.0,10.0,12.0,17.75,15.041608956491324,19.75,40.0
investigate_VERB,96.0,1.0,10.0,16.5,21.885416666666668,17.02003141296294,29.0,95.0
make_VERB_application_SUBST,13.0,14.0,18.0,24.0,29.615384615384617,15.77201351306834,35.0,62.0
have_VERB_laugh_SUBST,67.0,2.0,7.0,15.0,23.35820895522388,23.578817851813728,28.0,121.0
assume_VERB,578.0,2.0,10.0,17.0,22.337370242214533,17.669761537584268,28.0,119.0
have_VERB_rest_SUBST,41.0,2.0,7.0,12.0,19.317073170731707,18.326809630143273,23.0,68.0
take_VERB_notice_SUBST,72.0,2.0,8.75,12.5,17.944444444444443,14.926947829948253,24.25,100.0
give_VERB_address_SUBST,31.0,4.0,8.5,14.0,18.258064516129032,15.409883715623305,26.0,85.0
joke_VERB,233.0,1.0,6.0,10.0,15.918454935622318,17.07532130305274,18.0,116.0
make_VERB_offer_SUBST,11.0,3.0,11.5,22.0,27.454545454545453,21.238472809331828,44.5,68.0
murder_VERB,35.0,2.0,9.5,14.0,17.62857142857143,12.875160111593164,22.5,63.0
have_VERB_taste_SUBST,28.0,4.0,6.0,10.0,12.785714285714286,9.04047336869916,18.0,46.0
make_VERB_change_SUBST,68.0,2.0,11.5,18.0,23.102941176470587,17.366239082688146,28.25,85.0
adjust_VERB,87.0,1.0,9.0,18.0,21.17241379310345,16.42049690248315,28.5,76.0
make_VERB_assumption_SUBST,25.0,5.0,11.0,20.0,22.4,15.80348062927911,27.0,79.0
make_VERB_call_SUBST,72.0,5.0,11.0,20.5,26.708333333333332,20.866738476529754,38.5,106.0
make_VERB_investment_SUBST,3.0,10.0,15.0,20.0,19.333333333333332,9.018499505645789,24.0,28.0
bite_VERB,163.0,2.0,6.0,11.0,15.625766871165645,14.133440727042428,19.0,75.0
bid_VERB,71.0,3.0,8.0,12.0,16.028169014084508,15.234333246215288,18.0,107.0
recommend_VERB,341.0,1.0,10.0,18.0,23.668621700879765,20.693388703542023,29.0,176.0
give_VERB_try_SUBST,29.0,3.0,7.0,9.0,14.137931034482758,10.28773242379706,18.0,40.0
give_VERB_encouragement_SUBST,5.0,19.0,23.0,24.0,29.0,14.679918255903198,24.0,55.0
move_VERB,4960.0,1.0,8.0,14.0,19.50625,17.170543006455144,25.0,162.0
lecture_VERB,21.0,4.0,9.0,13.0,18.523809523809526,13.340236308323208,24.0,51.0
make_VERB_film_SUBST,34.0,3.0,9.25,13.5,20.58823529411765,19.521732484994413,22.75,85.0
take_VERB_bath_SUBST,6.0,7.0,8.0,12.0,17.666666666666668,12.785408349625234,27.25,36.0
tickle_VERB,45.0,1.0,5.0,6.0,9.533333333333333,9.38954931632165,10.0,49.0
cry_VERB,455.0,1.0,7.0,12.0,19.298901098901098,26.808151394093024,21.0,321.0
listen_VERB,1761.0,1.0,7.0,13.0,18.582623509369675,18.286175669430907,24.0,331.0
give_VERB_shake_SUBST,5.0,5.0,10.0,12.0,15.6,9.710818709048173,22.0,29.0
have_VERB_run_SUBST,26.0,3.0,7.0,10.5,15.846153846153847,12.610130237843881,19.5,55.0
photograph_VERB,32.0,2.0,8.75,14.0,19.34375,16.941282609401597,24.25,81.0
make_VERB_submission_SUBST,13.0,14.0,25.0,29.0,37.07692307692308,24.571194308449677,34.0,102.0
improve_VERB,442.0,1.0,10.25,20.0,24.925339366515836,21.042476003784113,32.0,207.0
risk_VERB,66.0,3.0,7.0,11.5,19.90909090909091,19.334884593339634,26.75,81.0
chew_VERB,122.0,1.0,6.0,10.5,14.80327868852459,14.080429736270634,17.75,90.0
doubt_VERB,229.0,2.0,8.0,12.0,17.65938864628821,17.66965784605172,22.0,156.0
give_VERB_assurance_SUBST,11.0,12.0,17.0,29.0,34.0,26.180145148566307,39.5,102.0
make_VERB_picture_SUBST,17.0,2.0,7.0,13.0,16.470588235294116,15.415566998406284,15.0,56.0
talk_VERB,7659.0,1.0,9.0,15.0,21.554641598119858,19.603026488062184,27.5,331.0
mention_VERB,1222.0,1.0,9.0,17.0,21.54582651391162,19.85155668447865,27.0,331.0
decide_VERB,1580.0,1.0,12.0,19.0,24.510759493670886,20.64898314217821,31.0,270.0
make_VERB_fuss_SUBST,24.0,3.0,11.0,13.5,17.541666666666668,10.685134601364428,24.0,48.0
boost_VERB,30.0,4.0,11.25,15.5,19.8,12.917243220354454,27.75,62.0
make_VERB_loan_SUBST,1.0,27.0,27.0,27.0,27.0,nan,27.0,27.0
kiss_VERB,182.0,1.0,6.0,10.0,16.23076923076923,19.349976471827137,19.75,130.0
make_VERB_adjustment_SUBST,7.0,4.0,13.0,24.0,19.428571428571427,10.627905765125176,25.5,31.0
threaten_VERB,150.0,2.0,8.0,17.0,22.106666666666666,20.414216216001204,27.0,121.0
cut_VERB,1834.0,1.0,8.0,13.0,17.767720828789532,15.115107515898288,23.0,172.0
support_VERB,828.0,1.0,11.0,19.0,24.778985507246375,20.319115390174083,32.25,188.0
accuse_VERB,63.0,2.0,12.0,17.0,21.428571428571427,13.535752282815725,31.5,66.0
give_VERB_cuddle_SUBST,4.0,3.0,3.0,5.0,5.0,2.309401076758503,7.0,7.0
make_VERB_payment_SUBST,10.0,7.0,18.25,24.0,36.6,25.347364535369135,60.75,78.0
have_VERB_cry_SUBST,1.0,43.0,43.0,43.0,43.0,nan,43.0,43.0
suggest_VERB,944.0,1.0,12.0,20.0,25.069915254237287,19.01669149042533,33.0,149.0
laugh_VERB,831.0,1.0,7.0,12.0,18.212996389891696,18.32133852501446,22.0,211.0
help_VERB,2919.0,1.0,9.0,16.0,21.731757451181913,19.864835985566913,28.0,248.0
chat_VERB,325.0,1.0,10.0,18.0,26.396923076923077,29.785539873654322,31.0,331.0
read_VERB,3650.0,1.0,8.0,14.0,18.914246575342467,17.7339134194349,24.0,331.0
suck_VERB,227.0,1.0,5.0,9.0,14.136563876651982,18.021713368672327,16.0,172.0
address_VERB,262.0,3.0,14.0,21.0,26.0381679389313,18.287153785254784,34.75,125.0
make_VERB_choice_SUBST,35.0,3.0,11.5,19.0,26.914285714285715,23.506408924040308,30.5,90.0
do_VERB_work_SUBST,477.0,2.0,10.0,19.0,24.046121593291403,17.98230837651855,32.0,97.0
answer_VERB,755.0,1.0,8.0,15.0,20.221192052980133,18.18516829884265,26.0,167.0
have_VERB_wash_SUBST,16.0,4.0,4.75,13.0,15.375,10.404326023342406,23.25,35.0
give_VERB_kick_SUBST,10.0,3.0,8.25,14.0,19.3,17.18558827752034,21.75,57.0
change_VERB,3226.0,1.0,8.0,14.0,19.624302541847488,18.53842984981054,24.0,266.0
do_VERB_investigation_SUBST,4.0,5.0,17.0,25.5,21.5,11.789826122551595,30.0,30.0
give_VERB_call_SUBST,65.0,4.0,11.0,15.0,19.953846153846154,15.716661908257162,23.0,100.0
do_VERB_damage_SUBST,29.0,4.0,10.0,15.0,22.75862068965517,25.945898619481532,25.0,129.0
smile_VERB,136.0,2.0,7.75,12.0,18.0,18.75810935746635,22.0,124.0
make_VERB_appearance_SUBST,3.0,6.0,8.0,10.0,8.666666666666666,2.309401076758503,10.0,10.0
have_VERB_gossip_SUBST,2.0,7.0,9.0,11.0,11.0,5.656854249492381,13.0,15.0
give_VERB_thanks_SUBST,3.0,7.0,8.5,10.0,18.666666666666668,17.67295485574875,24.5,39.0
have_VERB_intention_SUBST,31.0,3.0,8.5,16.0,18.677419354838708,12.692220968698882,23.5,59.0
choose_VERB,1125.0,1.0,9.0,16.0,20.973333333333333,18.783444667959763,27.0,156.0
take_VERB_reading_SUBST,1.0,17.0,17.0,17.0,17.0,nan,17.0,17.0
discover_VERB,202.0,1.0,11.0,21.0,24.376237623762375,16.37942617109946,34.0,85.0
smell_VERB,638.0,1.0,5.0,8.0,12.36833855799373,12.959206642218337,15.0,111.0
have_VERB_drink_SUBST,226.0,2.0,7.0,13.0,17.95575221238938,14.817940705948143,23.0,97.0
dive_VERB,37.0,1.0,8.0,14.0,14.864864864864865,9.580542092532488,20.0,37.0
sweep_VERB,59.0,3.0,9.0,14.0,16.966101694915253,11.963977688353102,21.0,62.0
give_VERB_smile_SUBST,3.0,4.0,5.5,7.0,6.0,1.7320508075688772,7.0,7.0
make_VERB_attempt_SUBST,4.0,11.0,17.75,25.0,24.5,11.387127235025815,31.75,37.0
drive_VERB,2068.0,1.0,9.0,15.0,20.295938104448744,19.07260699614621,25.0,266.0
pay_VERB,6263.0,1.0,9.0,15.0,20.556282931502476,18.268735915648175,26.0,266.0
advise_VERB,208.0,1.0,11.0,21.0,25.129807692307693,19.035372005885584,33.0,116.0
make_VERB_proposal_SUBST,3.0,15.0,21.0,27.0,30.666666666666668,17.7857620959388,38.5,50.0
attend_VERB,227.0,1.0,11.0,20.0,24.7136563876652,22.245053906370675,31.0,188.0
give_VERB_lecture_SUBST,16.0,7.0,8.5,14.5,16.4375,9.577534477445992,20.0,37.0
progress_VERB,78.0,4.0,12.0,21.0,29.012820512820515,37.461839835884255,29.75,302.0
take_VERB_shower_SUBST,3.0,10.0,13.5,17.0,14.666666666666666,4.041451884327381,17.0,17.0
sneak_VERB,39.0,1.0,7.5,13.0,19.58974358974359,22.679364546836695,23.0,115.0
take_VERB_chance_SUBST,35.0,2.0,6.5,12.0,17.2,17.328656986078766,17.5,77.0
push_VERB,833.0,1.0,8.0,15.0,20.69267707082833,18.73785906061947,27.0,204.0
pay_VERB_contribution_SUBST,12.0,9.0,13.0,20.0,23.5,18.052952415300133,24.5,75.0
alter_VERB,136.0,2.0,9.0,18.0,19.683823529411764,12.77770176163805,27.0,67.0
jog_VERB,15.0,2.0,7.0,11.0,13.666666666666666,11.165422816296148,17.0,46.0
give_VERB_shout_SUBST,25.0,3.0,6.0,10.0,13.24,10.516970412940537,16.0,48.0
take_VERB_approach_SUBST,7.0,20.0,29.5,34.0,36.857142857142854,12.575486358103895,44.5,56.0
have_VERB_smoke_SUBST,6.0,5.0,6.75,10.5,19.833333333333332,22.955754543614262,19.5,65.0
give_VERB_help_SUBST,16.0,7.0,12.75,26.0,28.0625,21.946810702241,34.75,98.0
have_VERB_walk_SUBST,52.0,3.0,6.75,11.0,18.46153846153846,20.35032546684045,21.0,108.0
